#,Name,Year,DaysFromSeroconversion,SequenceLength,Organism
0,1983.-.8888.HXB2-LAI-IIIB-BRU,1983,NA,NA,HIV-1
5,074-M-201-2-5_w0_220,2015,0,9001,HIV-1
6,074-M-201-2-5_w0_224,2015,0,8989,HIV-1
7,074-M-201-2-5_w0_232,2015,0,9014,HIV-1
8,074-M-201-2-5_w0_229,2015,0,9028,HIV-1
9,074-P-201-1-4_w0_33,2015,31,9018,HIV-1
10,074-P-201-1-4_w0_247,2015,0,8996,HIV-1
11,074-P-201-1-4_w0_38,2015,31,9018,HIV-1
12,074-P-201-1-4_w0_250,2015,0,8996,HIV-1
13,074-P-201-1-4_w4_52,2015,59,9018,HIV-1
14,074-P-201-1-4_w4_61,2015,59,9018,HIV-1
15,074-P-201-1-4_w4_51,2015,59,7334,HIV-1
16,074-P-201-1-4_w0_44,2015,31,9018,HIV-1
17,074-P-201-1-4_w0_39,2015,31,9018,HIV-1
18,074-P-201-1-4_w0_249,2015,0,8996,HIV-1
19,074-P-201-1-4_w0_47,2015,31,9018,HIV-1
20,074-P-201-1-4_w0_32,2015,31,9018,HIV-1
21,074-P-201-1-4_w0_237,2015,0,8996,HIV-1
22,074-P-201-1-4_w4_43,2015,59,9018,HIV-1
23,074-P-201-1-4_w0_37,2015,31,9018,HIV-1
24,074-P-201-1-4_w0_242,2015,0,8996,HIV-1
25,074-P-201-1-4_w0_45,2015,31,9018,HIV-1
26,074-P-201-1-4_w24_194,2015,199,9018,HIV-1
27,074-P-201-1-4_w12_185,2015,115,9018,HIV-1
28,074-P-201-1-4_w0_30,2015,31,9018,HIV-1
29,074-P-201-1-4_w0_34,2015,31,9018,HIV-1
30,074-P-201-1-4_w0_235,2015,0,8996,HIV-1
31,074-P-201-1-4_w0_36,2015,31,9018,HIV-1
32,074-P-201-1-4_w4_58,2015,59,9018,HIV-1
33,074-P-201-1-4_w0_243,2015,0,8996,HIV-1
34,074-P-201-1-4_w0_236,2015,0,8996,HIV-1
35,074-P-201-1-4_w0_50,2015,31,9018,HIV-1
36,074-P-201-1-4_w0_31,2015,31,9018,HIV-1
37,074-P-201-1-4_w4_59,2015,59,9018,HIV-1
38,074-P-201-1-4_w0_244,2015,0,8996,HIV-1
39,074-P-201-1-4_w0_40,2015,31,9018,HIV-1
40,074-P-201-1-4_w0_240,2015,0,8996,HIV-1
41,074-P-201-1-4_w0_238,2015,0,8996,HIV-1
42,074-M-201-2-5_w0_223,2015,0,9051,HIV-1
43,074-P-201-1-4_w0_48,2015,31,9018,HIV-1
44,074-P-201-1-4_w0_245,2015,0,8997,HIV-1
45,074-P-201-1-4_w0_246,2015,0,8996,HIV-1
47,074-P-201-1-4_w0_239,2015,0,8996,HIV-1
48,074-P-201-1-4_w0_248,2015,0,8997,HIV-1
52,074-P-201-1-4_w0_241,2015,0,8996,HIV-1
53,074-M-201-2-5_w0_221,2015,0,9018,HIV-1
54,074-M-201-2-5_w0_222,2015,0,8997,HIV-1
55,074-M-201-2-5_w0_234,2015,0,9018,HIV-1
56,074-P-201-1-4_w0_49,2015,31,9018,HIV-1